message,label
" PLZ STOP bootydelious (32/F) is interested in connecting with you. Reply YES-434 or NO-434 to this message. View her profile here: www.SMS.ac/u/bootydelicious. To opt-out, send FRND to 62468.",spam
"Hello! My name is Sue, I'm 20 years old and work as a professional dancer. I enjoy meeting new people and having friendly conversations. You can reach me through text messaging, and I'm available to chat now. My number is 89555, and you can send me a message by typing 'SUE'. Have a great day!",spam
"Congratulations! You've been singled out as a winner and are entitled to a £1000 cash prize or a 4-star vacation package, including flights. To claim your prize, speak to a live operator at 0871277810810.",spam
"Exciting news! Take That is coming back to the UK in 2007. Don't miss out on the chance to win VIP tickets and exclusive pre-booking access with our VIP Club. Text 'CLUB' to 81303 to enter. (Trackmarque Ltd, info@vipclub4u.com)",spam
"Your TONEXS subscription has been automatically renewed, and you've been charged £4.50. As a subscriber, you have the option to select 10 additional polys this month. Visit www.clubzed.co.uk for more information.",spam
You can enter a weekly drawing to win £100 of music gift vouchers by texting the word 'DRAW' to 87066. See terms and conditions at www.ldew.com. This is a skill-based game. Good luck!,spam
"We have attempted to contact you twice regarding your £750 prize. You can easily claim it by calling this number: 087187272008. This call will only cost 10p per minute, which is the standard BT national rate.",spam
"We've been trying to reach you regarding your response to our offer of 750 minutes, 150 texts, and a new video phone call. Please contact us at 08002988890 immediately or reply to arrange for free delivery tomorrow.",spam
"Thank you for your recent ringtone purchase, reference number X49. Your mobile phone will be charged 4.50. If you encounter any issues with your ringtone, please contact our customer service department at 09065989182. Best regards, TXTstar",spam
You've received a new message. Dial 0207-083-6089 to listen to it.,spam
Congratulations! You have been selected as a valued network customer to receive a £900 prize reward! Please call 09061701461 and provide claim code KL341 to redeem your prize within the next 12 hours.,spam
I have some risqué photos that were nearly banned in the UK. Would you like to take a look?,spam
Be the first to receive the latest Nokia tones every week! Simply text 'NOK' to 87021 and get your first tone for free. Share this offer with your friends and family. Each tone is only 150p. Reply 'HL' for more information.,spam
Unbelievable but true! Discover jaw-dropping facts with O2FWD's Incredible Txts. Reply 'G' now and prepare to be amazed. Only 18p per text.,spam
"Upgrade to the latest camera phone and enjoy four months of half-price Orange line rental. If you've had your phone for 11 months, call MobilesDirect at 08000938767 to take advantage of this offer. You can also text 'update' to stop receiving these messages.",spam
"Join The Mob's network and get your hands on a state-of-the-art mobile phone, along with heaps of other freebies! Send 'MAT' to 87021 for more details.",spam
Hello! Are you ready for a fun and flirtatious chat with our lovely SEXYCHAT ladies? Let's get the conversation started! Just text 'STOP' to opt out at any time.,spam
