message,label
You seemed off today. Everything cool?,ham
Can't believe we pulled off that surprise. Epic!,ham
Free gourmet hamper! Just for you.,spam
Can't find my concert ticket! Freaking out.,ham
Do you think I should take that online course?,ham
That new café downtown? 10/10 recommend.,ham
You still collecting vinyl? Found a cool shop.,ham
Get ahead! College degrees without classes.,spam
Your last recipe was a hit. More please!,ham
Feeling blue. Mind if we hang out?,ham
Get branded fashion wear at unbelievable discounts.,spam
"You still ride or die for pizza nights, right?",ham
Expand your network. Join the elite circle.,spam
Just read an amazing book. I think you'd love it.,ham
Exclusive health tip! Never fall sick again.,spam
How's the new pup? Must be a handful!,ham
Flash sale! Get 3 for the price of 1.,spam
Congrats! You've won a mystery prize. Reveal now.,spam
How did the date go? Spill the beans.,ham
Simplify chores. Home automation discounts inside.,spam
Mind if I borrow your laptop? Need it for a project.,ham
Cherish moments. Exclusive deals on honeymoon packages.,spam
Breaking! What doctors won't tell you about weight loss.,spam
Be your own boss. Start earning today.,spam
Launch alert! Next-gen gadgets now available.,spam
Yo! How's it hanging? Let's catch up soon.,ham
Missed your call. Everything okay?,ham
Ready for financial freedom? Learn from the pros.,spam
Still up for that double date?,ham
Mad craving for fries. Join the sin?,ham
"Hey, can we reschedule our coffee date? Something came up.",ham
WOW! Get premium quality jewelry at an unbeatable price.,spam
You've won a luxury cruise! Claim your ticket now.,spam
You're pre-selected. Get the Platinum card with $0 fees.,spam
"Ugh, this traffic is a nightmare. Gonna be late.",ham
Boost your stamina. Free trial pack inside.,spam
Avoid bankruptcy. Get a financial makeover!,spam
Free tickets! Live concert in your city.,spam
Fam's throwing a surprise party. Can you help?,ham
That board game we played? Buying it.,ham
Can't get over how epic that party was. Best one in ages!,ham
Great game last night! Let's do it again.,ham
Want to retire early? Join our investment webinar now.,spam
Transform your health. Detox packages available.,spam
Turn your home into a smart home. Massive discounts.,spam
Planning a BBQ night. Are you game?,ham
Spotted a book club. Thought of you. Joining?,ham
Emergency! Your bank details are at risk. Secure now.,spam
Just for you! Your premium membership awaits.,spam
Win a shopping spree! Enter now.,spam
How’s the pet? Share some pics!,ham
Yo! Snagged tickets to the big game. We're gonna have a blast!,ham
I think I aced the test. Fingers crossed.,ham
Time-sensitive! Your digital fortune awaits.,spam
Change your luck! Play our lottery and win big.,spam
Need fashion advice for the party. Help?,ham
That new spot downtown? Perfect for photoshoots.,ham
Enjoy 5-star luxury at 2-star prices! Exclusive deals.,spam
Discover passion. Romantic holiday packages inside.,spam
Remember our beach plan? Let's make it happen!,ham
Ready to party all night? Best club deals inside.,spam
"Hey fam, let's link up this weekend.",ham
Saw your post. Everything okay?,ham
