message,label
"Hey, mind if I borrow your lawnmower this weekend?",ham
Got a flat tire. Could use some help.,ham
Be a trendsetter. Grab latest fashion at unbeatable prices.,spam
"OMG, this song reminds me of our trip to Vegas.",ham
Book club meeting next week. Finished the read?,ham
Be unstoppable! Energy drinks to fuel your day.,spam
Your dream job is waiting. Apply within 24 hours.,spam
Upgrade your home with designer furniture at 80% off.,spam
Remember our secret spot? Meet you there?,ham
Thinking of joining a gym. Wanna be my workout buddy?,ham
Saw a fantastic documentary last night. Recommending it!,ham
That movie was insane. Thanks for the reco!,ham
Need a loan? Hassle-free approval and low interest.,spam
Watch this video before it gets banned! Shocking truth revealed.,spam
Exciting news! Your profile got us interested.,spam
Boost your brain power with this simple trick. Discover now.,spam
Your grandma's knitting tips were super helpful.,ham
That new pizza place? A total hit! You in?,ham
"Dude, I need coffee. Like, yesterday.",ham
Discover a goldmine investment. Millionaires are doing it!,spam
Top celebs reveal their beauty secrets. Discover now.,spam
Get luxury brands at unbelievable discounts.,spam
Gonna hit the gym. Wanna join? Get them gains.,ham
That old song? I finally found it!,ham
Attention! Your gift card is about to expire.,spam
Copped the new kicks? They’re dope.,ham
Magical getaway on a budget! Book your dream vacation.,spam
Picked up your favorite pastry. Coffee at my place?,ham
Miracle drug! Rejuvenate your skin in minutes.,spam
Unlock premium content for free! Just click here.,spam
Triple your investment in a week. Experts are in shock!,spam
Big news! Your photos can make you famous. Click now.,spam
The water's out. Can we use your shower?,ham
Want to be popular? Buy instant followers and likes now!,spam
Attention! Your bank account will be closed. Verify now!,spam
Last chance! Update your payment details now.,spam
Wow! Your friend tagged you in a giveaway. Claim prize.,spam
Did you hear about the new gaming cafe?,ham
Urgent! Your warranty is about to expire. Renew now.,spam
The secret to success revealed! Limited seats.,spam
Up for a road trip this weekend?,ham
Visited that vegan café. Surprisingly good!,ham
Refine your palate with our gourmet club membership.,spam
Secure your status. Personal branding experts onboard.,spam
That new cafe downtown? Let's check it out.,ham
Want VIP access to events? Click NOW for the pass.,spam
"Instant job offer! No experience, high salary.",spam
Miss you. Let's have a virtual catch-up soon.,ham
Did you ever finish that book I lent you?,ham
"Mate, we need another night out. ASAP.",ham
Tried that new yoga place downtown? Worth it?,ham
Heard about the news? Shook.,ham
Dive into luxury! Mega yacht sale now.,spam
"Fam, I overslept again. Need that coffee IV.",ham
Wanna try that new restaurant downtown?,ham
Discover buried treasures! Pirate map for sale.,spam
"Let's hit the beach this weekend. Sun, sea, sand!",ham
Baking brownies. Want some?,ham
Congrats! You’ve been chosen for a luxury trip.,spam
"Yo, I heard about the promotion. Congrats!",ham
Stay young forever. Revolutionary anti-aging serum.,spam
Your food blog's really taking off! Proud.,ham
Enhance your beauty. Rare serum inside.,spam
Grandma's not feeling well. Please call her.,ham
Thinking of starting a book club. You in?,ham
"Hey, our favorite band's playing next week. Tickets?",ham
Your doggo's pic made my day. More pls!,ham
Let's do a potluck dinner next week.,ham
"LOL, just remembered that inside joke of ours.",ham
Gourmet delights await you! Order our exotic food basket.,spam
Achieve paradise. Spiritual retreats at a steal.,spam
Your dad recommended a great gardening book.,ham
That old haunt of ours? Closed down.,ham
Boost your immunity. Natural supplement sale.,spam
Start a side hustle! Earn $500 daily from your couch.,spam
I can't find my cat. Have you seen her?,ham
Boost your libido. Try our natural supplements.,spam
Dropped my phone again. Need a new one.,ham
Claim your free jackpot spin. Millions could be yours!,spam
Let's set up a community library in our park.,ham
Blast away belly fat with our patented formula.,spam
Magnify your earnings. Join our affiliate program today.,spam
Secret to Hollywood skin revealed. Try now!,spam
Clear your debts overnight. Financial freedom guide.,spam
Can't decide on a gift. Any suggestions?,ham
Be omnipresent! Clone-yourself kits back in stock.,spam
Missing out on massive profits? Join now.,spam
"Bro, can you pick me up from the station?",ham
Discover your past. Genealogy research offers inside.,spam
Luxury vacation giveaway! Confirm your spot.,spam
Did you manage to book those concert tickets?,ham
Navigate the art of sophisticated living. Join us.,spam
Rare coins collection sale! Great investment opportunity.,spam
Score! You've been selected for VIP concert tickets!,spam
Hot stock alert! Invest before it's too late.,spam
Let’s do a karaoke night. You in?,ham
Earn extra! Join our affiliate program.,spam
"Bro, that game last night was lit!",ham
Movie night soon? Let’s pick something cheesy.,ham
Visited our old school. Major nostalgia hit.,ham
Miss you. Let's plan a trip soon!,ham
Ur profile pic? Fire emoji!,ham
Did you get my mail? Need your feedback.,ham
Find out how celebrities maintain their youthful looks.,spam
"Bruh, that meme you sent had me rolling.",ham
Are you attending the seminar next week? Would be great to catch up.,ham
Any updates on your job application?,ham
Perfect your look! Salon and spa packages at 50% off.,spam
Change your life in 30 days. Join our challenge.,spam
Don't miss this investment opportunity of a lifetime.,spam
"Congrats on the promotion! Drinks on you, right? 😜",ham
"Hey, how's the family? Pass on my hellos!",ham
Can't find my headphones. Did I leave them at yours?,ham
Going to the park. Want to join?,ham
Remember the time we got lost on our road trip? Lol.,ham
Let’s tackle that hiking trail next week?,ham
Have fun tonight! Check out these hot profiles.,spam
Guess what? I got the job!,ham
Visited the old library you recommended. A hidden gem!,ham
How’s the new place? Housewarming soon?,ham
Get the edge. Elite sports gear at massive discounts.,spam
Increase your stamina! Natural solutions available.,spam
Unlock fortune! Try our luck-enhancing charms.,spam
Live like a celeb with our luxury items.,spam
Unlock your psychic abilities with this course.,spam
Watched the sunset at the beach today. So beautiful.,ham
Have any plans for New Year's? Would love to host.,ham
You see that new dance challenge? We gotta try.,ham
"Yo, where'd you get those killer sneakers?",ham
We should plan our annual family picnic. Ideas?,ham
Let's try that new Italian place this weekend.,ham
Discover untold wealth. Hidden treasures webinar.,spam
Multiply your earnings! Join our millionaire club.,spam
Let's organize a charity event for the local school.,ham
Make a million in a month! Strategies inside.,spam
Can you teach me the chords to the new song?,ham
Missing romance? Best weekend getaways here.,spam
"Finally, Friday is here! Plans?",ham
Pop-up sale near you. Score branded stuff for pennies.,spam
Unlock luxury! Designer bags at 90% off.,spam
Remember our secret handshake? Good times.,ham
Is the party still on for Friday?,ham
Turn $100 into $5000. Proven investment tips.,spam
That recipe you shared? Total hit!,ham
Remember to hydrate and mind your business.,ham
Your ticket to a world of luxury. Exclusive membership.,spam
Unlock unlimited movies and series. Click before offer ends.,spam
Be a travel blogger. Exclusive training inside.,spam
"Girl, that dress you wore was stunning. Shop deets?",ham
Last night was a blast. Round two?,ham
Want to meet celebrities? Exclusive event invite inside.,spam
Ready for a makeover? Best cosmetic deals inside.,spam
Make her swoon! The ultimate male enhancement.,spam
Did you cop those new kicks? They're sick.,ham
Your Spotify playlist is on point!,ham
Hot singles in your city want to connect. Swipe now.,spam
Wow! Look 10 years younger with this trick.,spam
Your dream job is just a click away.,spam
Can't make it to the party tonight. Apologies.,ham
I think I left my charger at your place.,ham
Limited-time offer! Get our wellness kit for free.,spam
Dad called. He's doing better now.,ham
Unlock access to exclusive online sales. Limited time.,spam
Shock everyone at your reunion! Look 20 years younger.,spam
Are wrinkles worrying you? Try our age-reversal cream.,spam
Win the gadget of your dreams. Enter our sweepstakes.,spam
Win big! You're chosen for our lottery.,spam
Meet singles in your area! Sign up for free.,spam
Any tips for my first day at work? Nervous!,ham
Remember our trip to the beach? Good times!,ham
Can you babysit on Friday? We've got an appointment.,ham
"Man, I saw the cutest pup at the park!",ham
Freebies alert! Grab your gifts before they're gone.,spam
Find out the truth about your past life.,spam
"Girl, did you see his latest snap? So cringy.",ham
TGIF! Happy hour at mine? Bring snacks!,ham
Naughty secrets to spice up your bedroom game.,spam
New place. Housewarming party soon. Save the date!,ham
Find out if he/she is cheating on you.,spam
Let's bake those cookies we saw on Pinterest.,ham
Got a flat tire. Might be late to our meet-up.,ham
Doing a garage sale next week. Need help setting up.,ham
That dress you wore? Need it! Shop deets?,ham
Find your soulmate. Premium dating app with special offers.,spam
Unbelievable! You qualify for a full scholarship. Click to claim.,spam
Your bank account needs verification! Click here.,spam
Be debt-free! Consolidate your loans and save big.,spam
Long time no see. Fancy a cuppa soon?,ham
Break free! Join our millionaire mindset workshop.,spam
The vintage record player is set up. Vinyl night?,ham
Exclusive: Unlock special offers on premium brands.,spam
I aced my presentation today! Feeling on top of the world.,ham
Don't miss out! Exclusive offers on luxury cruises.,spam
Instant pain relief. Order our product now.,spam
Your Spotify playlist is fire! Share the link?,ham
Get the gamer's edge. Exclusive cheat codes.,spam
Release your inner genius! IQ boost inside.,spam
Ever dream of writing a book? Our program gets you published.,spam
Looking for a workout buddy. Interested?,ham
Craving our midnight coffee sessions. Let's do it again.,ham
