message,label
Melt the pounds away. Revolutionary fitness equipment inside.,spam
I'm doing a charity run. Would love your support.,ham
Any tips for the upcoming interview?,ham
Slide into the DMs of hot singles nearby. Tap & flirt.,spam
Turn your hobby into a business. Free guide inside.,spam
Can we push our meeting to next week?,ham
"Your dog was adorable in the recent pic. More, please!",ham
"You free? Let's game. I'll whoop you again, lol.",ham
Ready for a makeover? Free beauty session entry.,spam
Hot deals on branded watches. Up to 80% off.,spam
Want to be on TV? Auditions in your city now.,spam
Let's sign up for that workshop together. It'll be fun.,ham
Hope the workshop went well. Eager to hear the updates!,ham
That new track you dropped is straight heat.,ham
Saw a cute dress that'd look great on you.,ham
I'm dead. That meme you sent had me rolling.,ham
Let's catch up over coffee. It's been too long.,ham
Flash sale! Designer bags at warehouse prices.,spam
Ancestry secrets revealed! Find your roots today.,spam
Multiply your savings. Guaranteed returns on investments.,spam
The movie was great. Thanks for the recommendation.,ham
Amazing investment opportunity with guaranteed returns.,spam
Get verified! Boost your social media presence.,spam
Witness magic. Illusion show tickets on sale.,spam
Magic spells to change your life. Order now.,spam
Transform your body. Celebrity trainer workout available.,spam
100% natural! Miracle cure for all ailments. Order today.,spam
Limited offer! Get our credit card with 0% interest rate.,spam
Did you find your lost necklace?,ham
"Turn $100 into $10,000! Discover how.",spam
Desire a perfect body? Our gym offers a free trial.,spam
Enhance your living. Interior design consultation free!,spam
5-star dream vacation at throwaway prices! Book now.,spam
Skyrocket your business! Exclusive digital marketing tactics.,spam
"Hey, how have you been? It's been a while.",ham
Can you share the recipe of the dish you made last time?,ham
Let's talk luxury. Premium brand collaborations inside.,spam
Planning a gaming night. Interested?,ham
Join our exclusive club. Only for the elite.,spam
Clear skin is a tap away. Unbelievable skincare deal inside.,spam
Looking for love? Join our dating platform & find your soulmate.,spam
Any updates on the project?,ham
Become a culinary expert. Cooking masterclass available.,spam
I got the tickets for the art exhibition. Excited?,ham
Your fortune awaits. Grab your free psychic reading!,spam
Do the stars favor you? Free zodiac pendant inside.,spam
Turn back the clock. Revolutionary age-defying techniques.,spam
Got any plans for the weekend? Let's vibe.,ham
Saw a movie and thought of you. Hope you're well.,ham
Your credit score is at risk. Get a free report now.,spam
Remember our beach trips? Let's plan one.,ham
That new restaurant downtown? Worth a visit?,ham
Remember to get your tickets for the charity ball.,ham
Unlock premium content! Subscribe and get 2 months free.,spam
Can you forward the minutes of the last meeting?,ham
Your order has been shipped. Delivery on Tuesday.,ham
Let's start a book club. Interested?,ham
Buy 1 get 1 free! Exclusive sale for special customers.,spam
Connect with the divine. Spiritual retreat bookings inside.,spam
Get litty with our party pills. Safe and discreet.,spam
Hope everything's fine at your end.,ham
Update your payment info immediately to avoid account suspension.,spam
Let's volunteer for the community event.,ham
Booked our table for 8pm tonight.,ham
Hungry for success? Grab our entrepreneurship guide.,spam
Bestselling author reveals success secrets. Book now!,spam
Drive in style. Huge discounts on luxury vehicles.,spam
Your photos can earn you money! Join our contest.,spam
How was your cousin's wedding? Send photos!,ham
Secrets to getting rich. Download our free e-book.,spam
Let's grab lunch this week. Are you free?,ham
'Sup? Ready to glow up? Grab our skin serum now!,spam
The vintage shop's having a sale. Up for it?,ham
Don't forget to pick up groceries on your way.,ham
Your favorite artist's exhibition is next week.,ham
Did you peep the latest episode? Total madness!,ham
Don't miss out! Free iPhone to our 100th subscriber.,spam
Boost your creativity. Art supplies mega sale.,spam
It's your cousin's birthday next week. Gift ideas?,ham
Yo! Score big with our new shoes! Massive sale going on.,spam
Missed the last episode. Any spoilers?,ham
The new gym? How's your experience?,ham
Earn $500 daily from home. Learn how.,spam
Discover what celebrities are hiding. Find out now!,spam
Unlock a surprise gift. Share your credit card details.,spam
Exclusive! Boost your streams on Spotify. Be the next big thing.,spam
Plan your dream wedding. Exclusive planner offers.,spam
I heard you're moving. Exciting times!,ham
Your perfect match is a click away. Dive into elite dating.,spam
I'm organizing a charity event. Would love your involvement.,ham
"Heard of this? Turn $10 into $10,000 overnight. It's lit!",spam
Amplify your look. Designer clothing flash sale.,spam
Massive discount on diamond jewelry. Limited stock!,spam
"Hey sis, you left your shades at my crib.",ham
I missed our last session. Can you update me?,ham
Challenge your mind. Puzzle club memberships open.,spam
