message,label
"Your muffins were a hit at the office. Recipe, please!",ham
"Girl, that shade of lipstick? Fab on you!",ham
Loved your recent paintings. Having an exhibition?,ham
Breathe easy. Air purifiers at a discount.,spam
Congrats! Claim your free shopping vouchers.,spam
Reminder: School fee is due next Monday.,ham
Breaking! What doctors won't tell you about weight loss.,spam
Looking for love? Hot singles in your area.,spam
Turn back the clock! Miracle age-defying formula.,spam
Need a workout buddy. You in?,ham
Love watches? Time to grab luxury brands at a steal.,spam
Flash sale! Everything must go.,spam
Tired of being single? Meet your match now.,spam
Unlock instant wealth! Exclusive invite inside.,spam
Skyrocket your business! Best marketing tips.,spam
Bored at home? Unlock 1000+ games.,spam
You're a winner! Click to claim your iPhone.,spam
Planning a surprise for Dad. You in?,ham
Let's host a movie night at my place. Thoughts?,ham
Sale at the mall. Shopping this weekend?,ham
Working late. Don't wait up.,ham
"Get thicker, longer hair with this serum.",spam
New in town? Let's explore together.,ham
"Bruh, your phone's infected! Clean it now or RIP.",spam
Surprise your loved one. Massive jewelry sale.,spam
College reunion's next month. Got the invite?,ham
Maximize productivity. Revolutionary software trial inside.,spam
Do the stars favor you? Free zodiac pendant inside.,spam
Visiting the old bookshop. Need anything?,ham
Celebrity leaked secrets! Watch before it's deleted.,spam
Rare gemstones sale! Increase your wealth.,spam
Live stress-free! Secret mantra inside.,spam
Exclusive! See how this local mom made millions.,spam
Get verified! Boost your social media presence.,spam
The workshop's at 5. Shall we carpool?,ham
Be richer by tomorrow. Exclusive seminar.,spam
Been practicing the guitar. Jam session soon?,ham
"OMG, the finale of that show. Discuss ASAP!",ham
Lonely and looking for a partner. Let's chat.,spam
That new fitness tracker? How efficient is it?,ham
Ugh! Work's been so hectic. Let's catch up soon and destress.,ham
That new restaurant? Overhyped. Let's skip it.,ham
Double your income with this secret method.,spam
Bored at work. Save me?,ham
Get the gamer's edge. Exclusive cheat codes.,spam
Can't believe she ghosted me like that. I'm shook.,ham
Mom called. She wants your recipes.,ham
Last chance! Luxury villa at half price.,spam
Surprise! You've earned VIP access to our secret shop.,spam
Let's plan a weekend getaway. Really need a break.,ham
Cultivate a hobby. Gardening tools at reduced prices.,spam
Sup? How's the new job treating you?,ham
Win a shopping spree! Enter now.,spam
Own the night. Premium perfumes at unbeatable prices.,spam
The workshop was insightful. Thanks for the heads up.,ham
Clear skin is a tap away. Unbelievable skincare deal inside.,spam
Received an invite to Sam's wedding. Did you?,ham
Did you find your lost necklace?,ham
Join the health revolution. Organic superfoods inside.,spam
Craving sushi. Join?,ham
Your dog seems to be in my yard again.,ham
Did you manage to book those concert tickets?,ham
Exclusive alert! Early bird access to the luxury sale.,spam
Spotted a cool flea market. Let's explore.,ham
Saw a DIY kit. Thought you'd love it!,ham
Stop hair fall. Revolutionary treatment inside.,spam
Financial freedom beckons. Investment tips from pros.,spam
Heard you met a childhood friend. How was it?,ham
"Ayy, finally beat that game level. Tips?",ham
Heard you aced the test. Kudos!,ham
Thinking of adopting a pet. Know any shelters?,ham
Mystery prize waiting for you. Claim now!,spam
Miss our lazy Sundays. Brunch soon?,ham
Flat tummy in 7 days. Try our magic detox tea.,spam
Last day to avail 70% off on designer sunglasses.,spam
Your dream car is just a click away. Check these deals.,spam
Love luxury watches? Mega clearance sale.,spam
Can you babysit tonight? Something urgent came up.,ham
Special offer! Upgrade your phone for $1.,spam
Your opinion matters. Win $500 for your feedback.,spam
How was the spa day? Feeling refreshed?,ham
Supercharge your vehicle. Fuel boosters on sale.,spam
Unlock a world of cinema! Stream unlimited movies for free.,spam
Your photo won a prize! Click to claim.,spam
Joining the bake sale this year? Would love your famous cookies.,ham
Lost my keys. Can you check if they're at yours?,ham
Speak confidently. Voice training sessions inside.,spam
The trekking group? Think I could join?,ham
Your credit score is at risk. Get a free report now.,spam
"Sun's out, fun's out! Beach day?",ham
Unlock your brain's hidden potential. Find out how.,spam
Fancy some beach volleyball this weekend?,ham
Exclusive! Boost your streams on Spotify. Be the next big thing.,spam
"Man, those high school memories keep flooding back.",ham
Secure your child's future. Best education funds.,spam
Last night was so much fun. Let's do it again.,ham
How's your new course going? Worth joining?,ham
Let's try that DIY escape room challenge.,ham
Double your earnings! Risk-free method inside.,spam
Our favorite band's new album is out! Heard it yet?,ham
Think I found your fave book at my place.,ham
Your dog's latest pic? Cuteness overload!,ham
Fancy a spa day? Groupon deals!,ham
Flash sale! Designer bags at warehouse prices.,spam
Broke my specs. Know a good place?,ham
Turn your art into cash. Exhibit in top galleries.,spam
Get verified on social media! Quick & easy method.,spam
I'm feeling low. Fancy a chat?,ham
Stuck with work. Let's reschedule our dinner.,ham
How's your mom's health now? Sending prayers.,ham
Get ahead with this resume booster. Limited spots.,spam
Cashback alert! Shop now and get 50% back.,spam
Be our VIP. Exclusive club memberships at a 50% discount.,spam
How's the little one's dance recital prep?,ham
Yo! Snagged tickets to the big game. We're gonna have a blast!,ham
Clear your debts overnight. Financial freedom guide.,spam
Get that bread! Investment secrets the 1% don't want you to know.,spam
Heard you're moving. Need any help?,ham
Exclusive invitation! Elite dating app for the rich.,spam
The neighbors are throwing a party. Coming?,ham
Your blueberry pie recipe? Baking this weekend.,ham
Secure your future. Pension plans with high returns.,spam
Fancy some karaoke? Got a new setup.,ham
The concert was epic! Wish you were there.,ham
Celebrity style at a fraction of the price. Shop now.,spam
Buy 1 get 1 free! Exclusive sale for special customers.,spam
Got tickets to the charity gala. Joining?,ham
Become a master chef with our free eBook.,spam
Meet celebrities! Exclusive party invites inside.,spam
Flash sale alert! Electronics at 90% off. Hurry!,spam
My recipe was a hit at the potluck. Thanks for the tips!,ham
Fancy a wine and paint night?,ham
Win a chance to dine with celebrities.,spam
That concert was lit! Wanna go again?,ham
"You still ride or die for pizza nights, right?",ham
Light up your home. Festive décor sale now on.,spam
Massive sale downtown. Shopping trip?,ham
Thanks for the lovely evening. Let's do it again.,ham
That new pizza place? A total hit! You in?,ham
Want a lavish lifestyle? Here's how.,spam
What's the tea? Haven't heard from you in a minute.,ham
Want flawless skin? Find out how.,spam
Miss our road trips. Let's plan one soon!,ham
Unlock serenity. Himalayan retreat packages inside.,spam
Drop 5 dress sizes in just a month! See how.,spam
Last day! Claim your dream gadget at 80% off.,spam
How did the interview go? Hope it was good.,ham
Transform your health. Detox packages available.,spam
Achieve fitness. Exclusive access to a fitness bootcamp.,spam
Double your income with this side hustle.,spam
Enhance your performance with our organic pills.,spam
Is your partner cheating? Find out now.,spam
Hope the workshop went well. Eager to hear the updates!,ham
Secure your place in heaven! Donation details inside.,spam
How's your pet? Send pics!,ham
Break the bank! Casino secrets revealed.,spam
Experience paradise. Island vacation bookings open.,spam
Ever dreamt of Hollywood? Casting call inside.,spam
"LOL, that puppy video you sent was epic.",ham
How's the guitar lesson going?,ham
Ready for a glow-up? Book a free makeover session.,spam
Dinner tomorrow? Heard about this new sushi place.,ham
Rare coins? Triple your investment in days.,spam
"Bruh, missed you at the gym today. Everything cool?",ham
Totally aced that test! Celebrate with me?,ham
Watch this video to unlock your hidden potential!,spam
Luxurious properties at a fraction of the cost! Inquire now.,spam
The universe calls! Get a free horoscope reading.,spam
Live like royalty! Get your mansion at a steal.,spam
Your order has been shipped. Delivery on Tuesday.,ham
Update alert! Click now to update your software.,spam
I'm sorry for last night. Can we talk?,ham
Unlock massive earnings! Trading secrets unveiled.,spam
Get your dream body. No workout needed.,spam
Invest now! Turn $100 into $1000 overnight.,spam
Warning! Your antivirus is expired. Renew at 70% off.,spam
Found that hoodie you lost. At my place.,ham
Secure your future. Hot property deals inside.,spam
What did the teacher say about tomorrow's field trip?,ham
Crack the code! Lottery secrets revealed.,spam
The new place is great! Housewarming soon.,ham
"Your dog was adorable in the recent pic. More, please!",ham
Pet sitting this weekend. Wanna help?,ham
Learn from billionaires. Exclusive book inside.,spam
"Wow! Shoes from top brands, below $10.",spam
Breaking! This stock will make you rich.,spam
Illuminate your space. Designer lighting sale open.,spam
Feeling lucky? Play now and turn $1 into $1000.,spam
Don't miss out! Free iPhone to our 100th subscriber.,spam
"OMG, did you see that crazy game finale?",ham
The workshop we attended? They're hosting another.,ham
Ready for a change? Career transformation webinar this week.,spam
How's your dad's recovery going?,ham
Let's do a throwback trip to our old school.,ham
The movie was great. Thanks for the recommendation.,ham
Been feeling meh lately. Need a pick-me-up.,ham
Remember that café? Let's revisit.,ham
Let's catch the sunset at the beach. Bliss!,ham
Let's volunteer for the community event.,ham
Craving adventure? Try this mystery box.,spam
"Dear James, You've won! Confirm your email to receive prizes.",spam
How's your garden project coming along?,ham
Speak fluently in any language. Exclusive app deal.,spam
"Bro, that workout you shared? Killer!",ham
