message,label
You qualify! Pre-approved loan with zero interest.,spam
That holiday pic you shared. Looks dreamy! Details?,ham
"Bro, wanna impress? Get this limited-edition cologne.",spam
You're eligible for a special credit card offer. Apply now!,spam
How’s the guitar learning going? Play me something soon!,ham
Meet your soulmate. Exclusive dating app passes.,spam
Your family's future is important. Get insured today.,spam
Congrats! Claim your freebie from our treasure chest.,spam
Struggling with pain? Relief inside.,spam
I might take that job offer. Thoughts?,ham
"Ugh, Monday blues hitting hard. Got any plans later?",ham
Any luck with that job interview? Fingers crossed!,ham
How's your mom doing? Send her my regards.,ham
How's the new place? Settled in?,ham
"Hey, feeling low. Mind if I vent?",ham
Celebrate life! Grab our event passes at discounted rates.,spam
Can't believe how easy it is to earn from home. Join us!,spam
Your music's fire. Boost plays & get famous. It's legit.,spam
I've taken up jogging. Wanna be my running buddy?,ham
Warning! Detect spies around you. Get our spyglass.,spam
Let’s hit the farmer's market this weekend. Fresh produce galore!,ham
You're invited! Elite shoppers' sale. VIP access.,spam
You up for some hoops this evening?,ham
Instant whitening results! Try our toothpaste.,spam
New gym opened up nearby. Wanna check it out?,ham
Fancy a night out? It's been ages.,ham
Breaking news! Stocks predicted to soar. Invest today.,spam
Warning! Your computer is at risk.,spam
Going vegan. Any recipe blogs you follow?,ham
Alert! Your device may be compromised. Clean it NOW.,spam
"Hey, how's the new project going?",ham
Experience luxury shopping. Top brands at 70% off.,spam
How's the guitar lesson going? Play me something soon!,ham
Meet your favorite stars. Fan meet tickets on sale.,spam
Let's start that podcast we talked about.,ham
Your dream job awaits! Apply now and change your life.,spam
Dreaming of a holiday? Massive travel deals just for you.,spam
Diversify with gold. Exclusive rates inside.,spam
We noticed suspicious activity. Confirm your bank details.,spam
Just bumped into Jake from high school. Remember him?,ham
Double your Wi-Fi speed. Upgrade offer inside.,spam
Heard about the new eatery? They serve the best pies.,ham
Meet celebrities! Exclusive party invites.,spam
Seeking adventure? Thrilling packages inside.,spam
Your lucky numbers revealed. Win the lottery now!,spam
Can you believe the finale twist? Gasp!,ham
Need a confidence boost in bed? Try our free sample.,spam
Is your partner cheating? Find out with this app.,spam
New recipe. Want to be my guinea pig?,ham
Double your savings! Exclusive financial tip inside.,spam
This gadget is the future! Get yours before anyone else.,spam
Could you share those notes from class?,ham
Any plans for the weekend? Fancy a BBQ?,ham
Weekend forecast looks good. BBQ at mine?,ham
Convert your rent into EMI. Best property deals inside.,spam
Redefine luxury with our line of premium products.,spam
This stock is about to explode. Invest now!,spam
Found a vegan diner. Let’s check it out?,ham
Revealed: Magic words to get anything you want.,spam
Find out the truth about your past life.,spam
Exclusive deals on designer bags. Limited stock!,spam
Live the celebrity life! Special wellness retreat offer.,spam
Free session! Talk to our love guru.,spam
