message,label
"Get a FREE NOKIA or Motorola device with up to 12 months of half-price line rental, 500 free cross-network minutes, and 100 free texts per month. Please call Mobileupd8 on 08001950382 or opt-out by calling 2 or sending D3WV.",spam
"Get a FREE NOKIA or Motorola smartphone with up to 12 months of half-price line rental, 500 free X-Net minutes, and 100 free texts per month. Contact Mobileupd8 at 08001950382 or opt-out by calling 228002250382.",spam
"Don't miss out on this amazing opportunity to connect with us! Call 09094100151 to use your minutes. Our service, provided by AOM, costs only GBP5 per month and offers a convenient and affordable way to stay in touch. Please note that calls cost 10p per minute, with variations for mobiles. You must be aged 18 or older to participate. AOM Box61, M60 1ER until you decide to stop using the service. Hurry, don't let this chance slip away!",spam
"Don't miss out on our incredible offer! Call 09094100151 now and get connected for just 10p per minute (mobile rates may vary). This service is provided by AOM and costs only GBP5 per month. Sign up now and enjoy the benefits until you choose to stop. This offer is only open to those aged 18 and above. Hurry, don't miss out!",spam
"Are you interested in upgrading to a new video phone? We're offering an incredible deal - 750 anytime minutes, half-price line rental, and free texting for 3 months. Reply or call 08000930705 to receive free delivery.",spam
"Interested in a state-of-the-art video phone? Enjoy 750 anytime minutes across any network, plus half-price line rental and free texting for three months. Reply or call 08000930705 for complimentary delivery.",spam
Please note that an urgent customer service matter needs your attention. Kindly call our toll-free number 0800 542 0825 immediately.,spam
An urgent customer service message is waiting for you. Phone 0800 542 0825 to resolve this matter immediately!,spam
Attention Customers! Kindly call our toll-free number 0800 542 0825 immediately for a significant service announcement.,spam
We have a significant customer service update for you. Please call our toll-free number 0800 542 0825 immediately!,spam
"Your cash balance is currently £500. To maximize your cash-in, please send 'GO' to 86688 for only £1.50 per message. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL",spam
"Your current cash balance is £500. To maximize your cash-in, send 'GO' to 86688 for only £1.50 per message. CC 08718720201, HG/Suite342/2Lands Row/W1J6HL",spam
Hey there! I'm excited to meet someone who shares my interests. I'm looking for a consenting adult who enjoys a good time. Would you like to chat and see where things go? Please respond with a message and we can take it from there.,spam
I'm interested in getting to know you better. I have a strong attraction to confident individuals who enjoy a good time. Would you like to engage in a flirtatious conversation and see where it takes us? Let's exchange numbers and explore the possibility of a fun and exciting encounter.,spam
Are you searching for a quick and explicit sexual experience? Contact us at 02073162414 for more information. Please note that this service is for adults only and will incur a cost of 20p per minute.,spam
"Interested in seeking an intimate relationship? Please contact us at 02073162414. Standard network charges apply. Discreet Box 2667, WC1N 3XX",spam
"Get a FREE ringtone by texting 'FIRST' to 87131 for a polyphonic or 'GET' to 87131 for a true tone! For help, call 0845 2814032 (available after your first free tone). Additional tones are £1.50 per week.",spam
"Claim your free ringtone by texting 'FIRST' to 87131 for a polyphonic or 'GET' to 87131 for a true tone. For assistance, call 0845 2814032 between 16:00 and 23:59. Standard rates apply.",spam
Enjoy a Live 121 chat experience with our selection of girls for just 60p per minute. Choose your favorite and connect live. Call 09094646899 now! Cheap Chat UK offers the largest live chat service. VU BCM1896WC1N3XX,spam
Experience live chat with stunning ladies for just 60p per minute. Choose your favorite and connect live. Call 09094646899 now! Cheap Chat UK offers the largest selection of live chat services. VU BCM1896WC1N3XX,spam
Confidential! Your S.I.M. account statement for 2003 shows 800 unredeemed points. Please call 08718738001 and use the identifier code 49557 before 26/11/04 to claim your reward.,spam
Confidential: Your 2003 Account Statement shows 800 unredeemed S.I.M. points. Kindly call 08718738001 and quote the Identifier Code: 49557 before 26/11/04 to avoid expiration,spam
"Thank you for your unwavering support. As a token of our appreciation, we will enter you into our prize draw for £100 cash when you answer this week's question. Who is the new President of the United States? Send your response to 80082.",spam
Thank you for your loyalty! Your response to this week's question will qualify you for a chance to win £100 cash. Who is the recently elected President of the United States? Please text your answer to 80082.,spam
+449071512431 URGENT! This is our second attempt to contact you. You have won £1250! Please call 09071512433 before 050703 to claim your prize. T&Cs apply. BCM4235WC1N3XX. Call costs 150ppm. Mobile rates may vary. Max £7.50.,spam
"This is a reminder. You have won a prize of £1250. Please call the number 09071512433 immediately, before July 5th, 2003. The terms and conditions can be found at BCM4235WC1N3XX. standard rates apply. max cost of the call is £7.50",spam
