message,label
"Get a FREE NOKIA or Motorola device with up to 12 months of half-price line rental, 500 free cross-network minutes, and 100 free texts per month. Call Mobileupd8 on 08001950382 or opt-out by texting 'D3WV' to 2optout.",spam
"Get a FREE NOKIA or Motorola smartphone with up to 12 months of half-price line rental, 500 free cross-network minutes, and 100 free texts per month. Contact Mobileupd8 on 08001950382 or opt-out by calling 229023231530. Hurry! Don't miss this amazing offer!",spam
"Get a FREE NOKIA or Motorola phone with up to 12 months of 1/2 price line rental, 500 free x-net minutes, and 100 free texts per month. Contact Mobileupd8 at 08001950382 or opt-out by calling 22922255555 or D3WV.",spam
Don't miss out on this amazing opportunity to connect with us! Call 09094100151 now and get 10p/min (mobile rates may vary). This service is provided by AOM for just GBP5/month. Sign up now and enjoy the benefits! (Ages 18+ only).,spam
"Don't miss out on our incredible offer! Call 09094100151 now and get connected for just 10p per minute (mobile rates may vary). This service is provided by AOM and costs only GBP5 per month. Sign up now and enjoy the benefits until you cancel. Open to ages 18 and above only. AOM Box 61, M60 1ER",spam
"Don't miss out on our amazing offer! Call 09094100151 to use your minutes. Calls cost 10p/min (mobile rates may vary). This service is provided by AOM for just GBP5/month. Register now and enjoy the benefits! AOM Box61, M60 1ER. For ages 18 and above only.",spam
"Are you interested in upgrading to a new video phone? We're offering an incredible deal that includes 750 anytime minutes, half-price line rental, and free texting for three months. Contact us at 08000930705 or reply to this message to receive free delivery.",spam
"Interested in a state-of-the-art video phone? Enjoy 750 anytime minutes, plus half-price line rental and free texting for 3 months. Get it all delivered to your doorstep for free by replying or calling 08000930705",spam
"Upgrade to a state-of-the-art video phone and enjoy 750 anytime minutes across any network, half-price line rental, and free texting for three months. Claim your offer by replying or call 08000930705 for complimentary delivery.",spam
Please note that an urgent customer service matter needs your attention. Kindly call our toll-free hotline at 0800 542 0825 as soon as possible.,spam
An urgent customer service message is waiting for you. Phone 0800 542 0825 (toll-free) to hear the details.,spam
We have a vital message concerning your account. Please phone our freephone number 0800 542 0825 as soon as possible.,spam
Attention Customers! Kindly call our toll-free number 0800 542 0825 immediately for a significant service announcement.,spam
We have a significant customer service update for you. Please call our toll-free number 0800 542 0825 immediately!,spam
Don't miss out on this urgent customer service update. Dial our toll-free number 0800 542 0825 now!,spam
"Your cash balance is currently £500. To maximize your cash-in, please send 'GO' to 86688 for only £1.50 per message. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL",spam
"Your current cash balance is £500. To maximize your cash-in, send 'GO' to 86688 for only £1.50 per message. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL",spam
"Your current cash balance is 500 pounds. To maximize your cash-in, please send 'GO' to 86688 for only 150 pounds per message. Our contact information is 08718720201 HG/Suite342/2Lands Row/W1J6HL",spam
Hey there! I'm excited to meet someone who shares my interests. I'm looking for a consenting adult who enjoys a good time. Would you like to chat and see where things go? Please respond with a message and we can take it from there.,spam
I'm interested in getting to know you better. I have a strong attraction to confident individuals who enjoy a good time. Would you like to engage in a spirited conversation with a like-minded person? Let's exchange messages and see where it takes us!,spam
I'm interested in getting to know you better. I have a strong attraction to confident individuals who enjoy trying new things. Would you like to engage in a fun and exciting conversation? Let's send each other messages and see where it takes us!,spam
Are you searching for a quick and explicit sexual experience? Contact us at 02073162414 for a 30-second encounter. Please note that this service costs 20p/min and is intended for adults only. Address: Gsex POBOX 2667 WC1N 3XX,spam
"Interested in seeking an intimate relationship? Please contact us at 02073162414. Standard network charges apply. Discreet Box 2667, WC1N 3XX",spam
Interested in adult content? Call this number to connect with a service that provides erotic experiences. Be aware that the call will be charged at 20p per minute and may have additional fees. 02073162414,spam
"Get a FREE ringtone by texting 'FIRST' to 87131 for a polyphonic ringtone or 'GET' to 87131 for a true tone. For help, call 0845 2814032 between 16:00 and 23:59, Monday to Sunday. Please note that after the first free tone, additional tones will be charged at £150 per week, and you can stop the service by texting 'STOP'.",spam
"Claim your free ringtone by texting 'FIRST' to 87131 for a polyphonic or 'GET' for a true tone! Need assistance? Call 0845 2814032 (standard rates apply) after your first free tone, and be aware that subsequent tones will be charged at £150 per week.",spam
