message,label
"Get a FREE NOKIA or Motorola device with up to 12 months of half-price line rental, 500 free X-net minutes, and 100 free texts per month. Call Mobileupd8 at 08001950382 or opt-out by calling 2optout/D3WV.",spam
"Don't miss out on this amazing opportunity to connect with us! Call 09094100151 to use your minutes. Our calls are charged at 10p/min, and the service is provided by AOM for just GBP5/month. You can sign up at AOM Box61, M60 1ER until you decide to stop. This offer is only available to those aged 18 or older.",spam
"Are you interested in upgrading to a new video phone? We're offering an incredible deal that includes 750 anytime minutes, half-price line rental, and free text for three months. Contact us at 08000930705 or reply to this message to take advantage of this amazing offer and receive free delivery.",spam
Please note that an urgent customer service matter needs your attention. Kindly call our toll-free hotline at 0800 542 0825 for assistance.,spam
Attention Customers! Kindly call our toll-free number 0800 542 0825 immediately to address an important service announcement.,spam
"Your cash balance is currently £500. To maximize your cash-in, send 'GO' to 86688 for only £1.50 per message. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL",spam
"I'm interested in getting to know you better. I have a strong attraction to confident individuals who enjoy a spirited conversation. Would you like to engage in a passionate exchange with a like-minded person? If so, please respond with your thoughts on a slow and intense connection. Keep in mind that I'm open to exploring our desires in a respectful manner.",spam
Are you searching for a quick and explicit sexual experience? Contact us at 02073162414 for more information. Please note that this service is for adults only and will incur a cost of 20p per minute.,spam
"Get a FREE ringtone by texting 'FIRST' to 87131 for a polyphonic ringtone or 'GET' to 87131 for a true tone! For assistance, call 0845 2814032. Note: After the first free tone, additional tones will be charged at £150 per week, and you can stop by texting 'stop'.",spam
Enjoy a Live 121 chat experience with our selection of girls for just 60p per minute. Choose your favorite and connect live. Call 09094646899 now! Cheap Chat offers the UK's largest live chat service. VU BCM1896WC1N3XX,spam
Confidential! Your S.I.M. account statement for 2003 shows 800 unredeemed points. Please call 08718738001 with your identifier code 49557 before the expiration date of 26/11/04,spam
"Thank you for your unwavering support. As a token of our appreciation, we are offering a chance to win £100 cash in our weekly draw. Simply answer the following question: Who is the new President of the United States? Send your response to 80082.",spam
+449071512431 URGENT! This is our second attempt to contact you. You have won £1250! Please call 09071512433 before 050703 to claim your prize. Terms and conditions apply. BCM4235WC1N3XX. Calls cost 150ppm. Mobile rates vary. Max £7.50,spam
"Congratulations! You have won either ?1,000 in cash or a prize worth ?2,000. To redeem your prize, please call 09050000327. Terms and conditions apply. RSTM, SW7 3SS. 150ppm",spam
